ID_Stof,ATC_code
cd8c10a9-b16c-48bd-94cc-175b5080df08,J07BC02
b7d865ff-57a3-4ef6-8e65-90abce6f9366,M03AC09
2b20fec8-aef6-43a5-a076-c56051ef9faf,L01XX02
df32405b-e556-4118-ba09-37be09349d68,M01AB05
b98d20f3-258b-43e9-8d66-ad5b33823aa7,R03AC13
7b0103ab-ee19-47f1-a054-06514f2e5be8,N01AB07
22a15e57-164e-4e87-a840-79ff794e37f9,M01AC05
3b5e36de-1165-481e-a819-e4e566cccbb4,J01CF01
661cd099-07b7-456f-a1f2-005632cc13e7,C09CA01
964d5d1a-9052-4e57-b1a2-74a111626392,V08AB09
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03AC01
2ea7859e-a66b-46c2-bf73-ddb077196605,R06AX22
7567b853-b19c-4252-a10f-67c0a74feb03,C01CA26
d944099d-d061-4e4d-acfa-bb520af59e40,A12AA07
8316c5ac-74d1-4c1c-8532-71960e3d2ab3,N01BB52
eba9c688-9e34-49f1-b0ce-91ea682634fb,B05XA05
d105c65c-2dc2-4c14-8267-4ee65ebfcfc5,C01CA06
bff4cf68-41d0-4aba-8cd2-6a81eb6ceb0e,B05XA02
8316c5ac-74d1-4c1c-8532-71960e3d2ab3,C01CA03
11132925-e5be-4e8f-8b26-39179adda598,J01EE01
7ba511a4-89e1-4e96-a45d-5d8e36fe8731,J01EE01
9a5165a8-33b1-464b-8dec-e4c9f44c10f7,M03AB01
4ec7bbba-2b6a-4d2f-a23e-1e3b9aa01089,A11DA01
62b65308-677a-477d-8b8c-ac4c82787a3d,N01AF03
9bd5465a-4d7a-449d-a2ac-b7994fecc716,L03AB08
eaf42d8b-8ea8-41a0-ba20-abcdbd9658b6,L01CA04
6ded0369-6284-439a-bce5-45a92861c0ce,G04CA02
092a9f3d-5919-4d21-814d-3d1b2e3faca2,B01AC06
a0149ab7-6ce3-4d7a-b171-4d252253e106,L04AD02
53a83163-9f23-4aa2-a1c7-f96a0cebe842,A10BB12
1c6a8b3f-8a2c-4baa-9f37-9270c40071b7,N02AA05
0ae0abbb-3bd6-4d37-8911-6d5316753381,L01CD02
862a04c3-dc4c-49fb-817d-f968154c8fb4,N01AB08
0931ef5c-3608-438f-8be2-9690092c6f58,L01DB02
621767d0-4cbd-4908-9aee-e78f8a94b5e1,N06BA07
51071015-7506-46a2-a932-e7f58d9d6cda,A10AB04
85bf27fa-7ac8-410f-85d7-1f1103f6d83c,L04AA06
f8c768cd-409e-4633-ae7b-1ce74f794336,R01BA52
1d9c8aae-fe31-4e08-9f4a-af43d965b39c,R01BA52
4ac0e6bf-1486-4fe1-9b9c-837510cd3dbd,N03AX11
65b2be11-0c25-44c4-9bf8-23e4af9f09d8,M01AB08
