ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
D06AX07,D,D06,D06A,D06AX,D06AX07
D06AX11,D,D06,D06A,D06AX,D06AX11
D06AX12,D,D06,D06A,D06AX,D06AX12
D06BX01,D,D06,D06B,D06BX,D06BX01
D06AA04,D,D06,D06A,D06AA,D06AA04
D07AB09,D,D07,D07A,D07AB,D07AB09
D07AB19,D,D07,D07A,D07AB,D07AB19
D07AC01,D,D07,D07A,D07AC,D07AC01
D07AC09,D,D07,D07A,D07AC,D07AC09
D07AC13,D,D07,D07A,D07AC,D07AC13
D07AC15,D,D07,D07A,D07AC,D07AC15
D07AC17,D,D07,D07A,D07AC,D07AC17
D07AD01,D,D07,D07A,D07AD,D07AD01
D07BA01,D,D07,D07B,D07BA,D07BA01
D07BB03,D,D07,D07B,D07BB,D07BB03
D07BC01,D,D07,D07B,D07BC,D07BC01
D07CA02,D,D07,D07C,D07CA,D07CA02
D07CA03,D,D07,D07C,D07CA,D07CA03
D07CB01,D,D07,D07C,D07CB,D07CB01
D07CB04,D,D07,D07C,D07CB,D07CB04
D07CC01,D,D07,D07C,D07CC,D07CC01
D07CD01,D,D07,D07C,D07CD,D07CD01
D07XA02,D,D07,D07X,D07XA,D07XA02
D07XB02,D,D07,D07X,D07XB,D07XB02
D07XB05,D,D07,D07X,D07XB,D07XB05
D07XC01,D,D07,D07X,D07XC,D07XC01
D07XC03,D,D07,D07X,D07XC,D07XC03
D07AA01,D,D07,D07A,D07AA,D07AA01
D07AA03,D,D07,D07A,D07AA,D07AA03
D10AF01,D,D10,D10A,D10AF,D10AF01
D10AF02,D,D10,D10A,D10AF,D10AF02
D10AF03,D,D10,D10A,D10AF,D10AF03
D10AF51,D,D10,D10A,D10AF,D10AF51
D10AF52,D,D10,D10A,D10AF,D10AF52
D10AX05,D,D10,D10A,D10AX,D10AX05
D10AA02,D,D10,D10A,D10AA,D10AA02
D10AA03,D,D10,D10A,D10AA,D10AA03
D11AH01,D,D11,D11A,D11AH,D11AH01
D11AX10,D,D11,D11A,D11AX,D11AX10
D11AX18,D,D11,D11A,D11AX,D11AX18
G01AE10,G,G01,G01A,G01AE,G01AE10
G01AF01,G,G01,G01A,G01AF,G01AF01
G01AF04,G,G01,G01A,G01AF,G01AF04
G01AF11,G,G01,G01A,G01AF,G01AF11
G01AF20,G,G01,G01A,G01AF,G01AF20
G01AA01,G,G01,G01A,G01AA,G01AA01
G01AA03,G,G01,G01A,G01AA,G01AA03
G01AA05,G,G01,G01A,G01AA,G01AA05
G01AA10,G,G01,G01A,G01AA,G01AA10
G01AA51,G,G01,G01A,G01AA,G01AA51
G02BB01,G,G02,G02B,G02BB,G02BB01
G02CC01,G,G02,G02C,G02CC,G02CC01
G02CC02,G,G02,G02C,G02CC,G02CC02
G03AB01,G,G03,G03A,G03AB,G03AB01
G03AB02,G,G03,G03A,G03AB,G03AB02
G03AB03,G,G03,G03A,G03AB,G03AB03
G03AB04,G,G03,G03A,G03AB,G03AB04
G03AB05,G,G03,G03A,G03AB,G03AB05
G03AB06,G,G03,G03A,G03AB,G03AB06
G03AB07,G,G03,G03A,G03AB,G03AB07
