drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
G03AB08,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03AB08_J05AR14
J05AP02,J04AM06,dokumenteret,udtalt,1,J,J,J04AM06_J05AP02
J05AR15,J04AB02,veldokumenteret,udtalt,1,J,J,J04AB02_J05AR15
N04BD01,N06AX16,begrænset dokumenteret,udtalt,1,N,N,N04BD01_N06AX16
J05AP02,J04AB02,dokumenteret,udtalt,1,J,J,J04AB02_J05AP02
C01DA02,C02KX05,dokumenteret,udtalt,1,C,C,C01DA02_C02KX05
G03FB06,N03AF01,veldokumenteret,moderat,1,G,N,G03FB06_N03AF01
J05AR15,J04AM02,veldokumenteret,udtalt,1,J,J,J04AM02_J05AR15
G03FA17,N06AX25,veldokumenteret,moderat,1,G,N,G03FA17_N06AX25
G03AA10,N03AF04,dokumenteret,moderat,1,G,N,G03AA10_N03AF04
N06AG02,N02CC04,dokumenteret,udtalt,1,N,N,N02CC04_N06AG02
J05AR22,N05CD08,ringe dokumenteret,mulig,1,J,N,J05AR22_N05CD08
G03AA14,N03AF01,veldokumenteret,moderat,1,G,N,G03AA14_N03AF01
V03AX03,J04AM02,ringe dokumenteret,uafklaret,1,V,J,J04AM02_V03AX03
C07BB02,N06AB05,veldokumenteret,moderat,1,C,N,C07BB02_N06AB05
L01XE07,N03AF01,dokumenteret,udtalt,1,L,N,L01XE07_N03AF01
N03AA02,G03FB06,begrænset dokumenteret,moderat,1,N,G,G03FB06_N03AA02
J02AC03,J04AB02,dokumenteret,udtalt,1,J,J,J02AC03_J04AB02
G03AA10,J05AE10,begrænset dokumenteret,mulig,1,G,J,G03AA10_J05AE10
D01AC08,C10AA01,begrænset dokumenteret,udtalt,1,D,C,C10AA01_D01AC08
J04AK05,J04AM06,dokumenteret,udtalt,1,J,J,J04AK05_J04AM06
G03FA01,J05AR10,veldokumenteret,mulig,1,G,J,G03FA01_J05AR10
N03AA02,G03FA12,begrænset dokumenteret,moderat,1,N,G,G03FA12_N03AA02
L04AA10,J01FA01,begrænset dokumenteret,udtalt,1,L,J,J01FA01_L04AA10
J05AE04,C10BA02,dokumenteret,udtalt,1,J,C,C10BA02_J05AE04
N06AA10,N06AB05,dokumenteret,udtalt,1,N,N,N06AB05_N06AA10
G03FB05,J05AE03,veldokumenteret,mulig,1,G,J,G03FB05_J05AE03
G03AA07,N03AF04,dokumenteret,mulig,1,G,N,G03AA07_N03AF04
G03AC06,N06AX25,veldokumenteret,moderat,1,G,N,G03AC06_N06AX25
G03FB05,N03AF02,dokumenteret,moderat,1,G,N,G03FB05_N03AF02
J05AG05,N06AX25,begrænset dokumenteret,udtalt,1,J,N,J05AG05_N06AX25
L02BA01,N06AB05,dokumenteret,udtalt,1,L,N,L02BA01_N06AB05
N06AA09,N06AB03,dokumenteret,udtalt,1,N,N,N06AB03_N06AA09
G03FB06,J05AE10,begrænset dokumenteret,mulig,1,G,J,G03FB06_J05AE10
G02BA03,N03AF04,dokumenteret,mulig,1,G,N,G02BA03_N03AF04
G03FA01,N03AF04,dokumenteret,mulig,1,G,N,G03FA01_N03AF04
L04AA10,J02AC03,dokumenteret,udtalt,1,L,J,J02AC03_L04AA10
G03AA13,N06AX25,veldokumenteret,moderat,1,G,N,G03AA13_N06AX25
L01XE27,N06AX25,ringe dokumenteret,mulig,1,L,N,L01XE27_N06AX25
G01AF01,L01AB01,begrænset dokumenteret,udtalt,1,G,L,G01AF01_L01AB01
S01XA18,C10AA02,veldokumenteret,udtalt,1,S,C,C10AA02_S01XA18
J05AR18,G04CA01,ringe dokumenteret,mulig,1,J,G,G04CA01_J05AR18
G03FB06,N06AX25,veldokumenteret,moderat,1,G,N,G03FB06_N06AX25
G03FB05,N06AX25,veldokumenteret,moderat,1,G,N,G03FB05_N06AX25
J05AR20,N03AF01,dokumenteret,udtalt,1,J,N,J05AR20_N03AF01
L04AD01,C10BA03,veldokumenteret,udtalt,1,L,C,C10BA03_L04AD01
L01XE01,C10BA02,dokumenteret,udtalt,1,L,C,C10BA02_L01XE01
G03AA16,J05AR10,veldokumenteret,mulig,1,G,J,G03AA16_J05AR10
J05AE02,J04AB02,veldokumenteret,udtalt,1,J,J,J04AB02_J05AE02
N06AB05,N05AB03,dokumenteret,udtalt,1,N,N,N05AB03_N06AB05
V03AX03,C10AA02,ringe dokumenteret,uafklaret,1,V,C,C10AA02_V03AX03
J05AR21,N06AX25,begrænset dokumenteret,udtalt,1,J,N,J05AR21_N06AX25
J05AR21,J04AM06,dokumenteret,udtalt,1,J,J,J04AM06_J05AR21
G03AA07,N03AF01,veldokumenteret,moderat,1,G,N,G03AA07_N03AF01
G03AA07,J05AE10,begrænset dokumenteret,mulig,1,G,J,G03AA07_J05AE10
J05AR22,C10AA02,ringe dokumenteret,uafklaret,1,J,C,C10AA02_J05AR22
G02BB01,N03AF04,dokumenteret,mulig,1,G,N,G02BB01_N03AF04
B01AF01,J05AP53,dokumenteret,udtalt,1,B,J,B01AF01_J05AP53
J04AK05,J04AB02,dokumenteret,udtalt,1,J,J,J04AB02_J04AK05
G03AC01,N03AF04,dokumenteret,mulig,1,G,N,G03AC01_N03AF04
