,NDFRT,CUI
668,"N0000180308
","
C1101838
"
669,"N0000177948
","
C0060179
"
670,"N0000146012
","
C0028027
"
671,"N0000147344
","
C0770307
"
672,"N0000146791
","
C0030899
"
673,"N0000148513
","
C0246421
"
674,"N0000148870
","
C1172734
"
675,"N0000181529
","
C2830183
"
676,"N0000146891
","
C0002615
"
677,"N0000145799
","
C0017861
"
678,"N0000146108
","
C0024730
"
679,"N0000146766
","
C0025696
"
680,"N0000147582
","
C0135166
"
681,"N0000146940
","
C0032613
"
682,"N0000146252
","
C0164608
"
683,"N0000148359
","
C0076840
"
684,"N0000146925
","
C0040899
"
685,"N0000147621
","
C4083129
"
686,"N0000146119
","
C0012551
"
687,"N0000181834
","
C1699926
"
688,"N0000023074
","
C0358297
"
689,"N0000147717
","
C0004886
"
690,"N0000148731
","
C0047683
"
691,"N0000176078
","
C0883242
"
692,"N0000146727
","
C0596004
"
693,"N0000146751
","
C0301370
"
694,"N0000147708
","
C0301369
"
695,"N0000147723
","
C0005098
"
696,"N0000147728
","
C0005578
"
697,"N0000147918
","
C0301374
"
698,"N0000147868
","
C0062922
"
699,"N0000147808
","
C0012125
"
700,"N0000147847
","
C0016225
"
701,"N0000146747
","
C0017970
"
702,"N0000147901
","
C0360172
"
703,"N0000147954
","
C0069805
"
704,"N0000181836
","
C2348066
"
705,"N0000147469
","
C0025023
"
706,"N0000146895
","
C0025746
"
707,"N0000148861
","
C0005642
"
708,"N0000022080
","
C0054094
"
709,"N0000147895
","
C0024778
"
710,"N0000182252
","
C2697950
"
711,"N0000148711
","
C0043822
"
712,"N0000148422
","
C0028116
"
713,"N0000147493
","
C0085173
"
714,"N0000180310
","
C1453642
"
715,"N0000182254
","
C2608038
"
716,"N0000182565
","
C1958569
"
717,"N0000182735
","
C2746078
"
718,"N0000182438
","
C1530072
"
719,"N0000182738
","
C1738934
"
720,"N0000182739
","
C1876229
"
721,"N0000147968
","
C0031007
"
722,"N0000147782
","
C0009170
"
723,"N0000182831
","
C1956796
"
724,"N0000182730
","
C0754011
"
725,"N0000147841
","
C0015042
"
726,"N0000147853
","
C0016368
"
727,"N0000147894
","
C0024056
"
728,"N0000147914
","
C0066101
"
729,"N0000147208
","
C0025678
"
730,"N0000182740
","
C1566826
"
731,"N0000147581
","
C0058134
"
732,"N0000147517
","
C0085154
"
733,"N0000022999
","
C0732569
"
734,"N0000148642
","
C0069751
"
735,"N0000178417
","
C0052429
"
736,"N0000147930
","
C0026388
"
737,"N0000146289
","
C0031184
"
738,"N0000147203
","
C0031954
"
739,"N0000146346
","
C0033229
"
740,"N0000147994
","
C0033399
"
741,"N0000147995
","
C0033405
"
742,"N0000147999
","
C0033473
"
743,"N0000148028
","
C0039865
"
744,"N0000182970
","
C1619962
"
745,"N0000020848
","
C1289957
"
746,"N0000182971
","
C1739768
"
747,"N0000148393
","
C0288672
"
748,"N0000147616
","
C0078956
"
749,"N0000148518
","
C0297268
"
750,"N0000148388
","
C0282471
"
751,"N0000148501
","
C0353453
"
752,"N0000148343
","
C0206460
"
753,"N0000148569
","
C0253563
"
754,"N0000148733
","
C1098510
"
755,"N0000179815
","
C1620287
"
756,"N0000148458
","
C0256103
"
757,"N0000147774
","
C0055877
"
758,"N0000147036
","
C0770460
"
759,"N0000183250
","
C3192263
"
760,"N0000148271
","
C0040613
"
761,"N0000022394
","
C0023031
"
762,"N0000176106
","
C1701455
"
763,"N0000183253
","
C2974289
"
764,"N0000182973
","
C1999375
"
765,"N0000146348
","
C0022233
"
766,"N0000147912
","
C0025624
"
767,"N0000147957
","
C0069833
"
768,"N0000147958
","
C0030082
"
769,"N0000183921
","
C0043832
"
770,"N0000147598
","
C0079083
"
771,"N0000147072
","
C0008163
"
772,"N0000148039
","
C0040805
"
773,"N0000176077
","
C0055891
"
